title,genres,links
Ringmaster,['Comedy'],/gbLOUw9pmCF6cC0QbQHHACywAqg.jpg
Very Bad Things,"['Comedy', 'Crime', 'Thriller']",/rGZ4bR7dNcAWntnVY5R8kge2IVq.jpg
Psycho,"['Comedy', 'Crime', 'Thriller']",/5emaTTGS8rnLgZrBS98zqv1XWqE.jpg
Little Voice,"['Comedy', 'Drama']",/yWVzmBbRpfvDkvdKfPC70PpSVEN.jpg
A Simple Plan,"['Drama', 'Crime', 'Thriller']",/n8vVfHfkYzMjRJ6yXXnE9ZuHjlB.jpg
Jack Frost,"['Comedy', 'Family', 'Drama', 'Fantasy']",/cPmO5VZhqN4ocrgxjGaFmLeMREv.jpg
Star Trek: Insurrection,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",/sQdiBAMZ8mq9Eb9fQX1Z7HZHUVs.jpg
The Prince of Egypt,"['Adventure', 'Animation', 'Drama', 'Family', 'Music']",/wD34ls2faCrj8YvFViEaPfBtBEe.jpg
Rushmore,"['Comedy', 'Drama']",/q3ov1BFTCRWoR9Q6udaRbmgfWwg.jpg
Shakespeare in Love,"['Romance', 'History']",/sAN5jedynbs3pa3ww0UXQ1k0lRF.jpg
Miracle on 34th Street,"['Drama', 'Family']",/h8kkqroLwxvAHxWGIStEZaNd4wr.jpg
Santa Claus: The Movie,"['Family', 'Fantasy', 'Adventure', 'Science Fiction', 'Comedy']",/eYQ4c6NhU59YGRsH6kp1oKZHhNt.jpg
Prancer,"['Drama', 'Family', 'Fantasy']",/fMB3NytsHZrbb2ylntRFQtFhPPx.jpg
Pale Rider,"['Romance', 'Western']",/kpAN5WnDEVWYzMDPkXHTbrDQuak.jpg
Rambo: First Blood Part II,"['Action', 'Adventure', 'Thriller', 'War']",/l6zUaYqaQ5TFokesv3BPzBvSN0.jpg
First Blood,"['Action', 'Adventure', 'Thriller', 'War']",/bbYNNEGLXrV3lJpHDg7CKaPscCb.jpg
Rambo III,"['Action', 'Adventure', 'Thriller', 'War']",/oCD41FfUs1OMCdPaf5EcJ6dxxMW.jpg
The Jewel of the Nile,"['Action', 'Adventure', 'Comedy', 'Romance']",/6VjsIhnIcrz2XdQVHdsMj5DdSa1.jpg
Romancing the Stone,"['Action', 'Adventure', 'Comedy', 'Romance']",/3TqpkTYiltYsxYatdug6WDgdRKL.jpg
Cocoon,"['Comedy', 'Drama', 'Science Fiction']",/foIhEPQoqDctfwsHmmYwbNz5A2g.jpg
Cocoon: The Return,"['Comedy', 'Drama', 'Science Fiction']",/AkPcfRIZ1ZynIB2nnOOOWzHPOT9.jpg
Rocky II,['Drama'],/fqJH7mI4dFANRay8qdJoGa7fK1k.jpg
Rocky III,['Drama'],/ns55NGqTDEEjcI9z2a9htA2cFtG.jpg
Rocky IV,['Drama'],/q2nkVddOshjhJ19oQYmViQHxyjj.jpg
Rocky V,['Drama'],/5P2RiuLt31mWyb6duww8qlAhs6G.jpg
Clue,"['Comedy', 'Thriller', 'Crime', 'Mystery']",/suzDcrxpuNPDnBwOOy8vBLsygwp.jpg
Young Sherlock Holmes,"['Action', 'Adventure', 'Crime', 'Drama', 'Family', 'Mystery', 'Thriller']",/wtf58Ld4C23zQFidUfH4lN2aR1f.jpg
Back to School,['Comedy'],/8k0qfMvpHPttsyt8MqZJR8IOaRN.jpg
Heartburn,"['Comedy', 'Drama', 'Romance']",/2lEISs6Kj1Gs4svXNWAcYcmXlNA.jpg
Nothing in Common,"['Drama', 'Comedy', 'Romance']",/elsvXioKqCglA3ACcP3cysDE8uF.jpg
Extremities,"['Drama', 'Thriller']",/pMN14kaump5CrzbSl1C0a2E0M4f.jpg
The Karate Kid,['Drama'],/5kKor5pZ3ov08CAstSyk7FGDKVN.jpg
"The Karate Kid, Part II","['Adventure', 'Drama', 'Action', 'Romance', 'Family']",/4zmEPGKrD3sgjHZUs99tknEBaJy.jpg
"The Karate Kid, Part III","['Family', 'Adventure']",/2Z0EJl11kOSPMMvHqZ4r5Csh7Ph.jpg
National Lampoon's Christmas Vacation,['Comedy'],/uh2sQFjRXCwexWcBtV7OEnL1c5G.jpg
You've Got Mail,"['Comedy', 'Romance']",/2XIsqnCwEE3Uf5TlP9H68STgtk6.jpg
The General,"['Drama', 'Action', 'Crime']",/hAPqcsMhvn0gfQRAbm2UrmDzloj.jpg
The Theory of Flight,['Drama'],/ajFRGmaUtT1dItVsE0gZJvEZPEz.jpg
The Thin Red Line,"['Drama', 'History', 'War']",/jGDK6eM6vb8VEUmR0ZoaghcCG8f.jpg
The Faculty,"['Horror', 'Mystery', 'Science Fiction']",/6L1SgKyzDy5x2oEskUyfMcdVed2.jpg
Mighty Joe Young,"['Action', 'Adventure', 'Family', 'Fantasy']",/7ZqKvQwc3xUMBbadqzroMOnWwKc.jpg
